<block:absentbydesign:fence_log_acacia>, Acacia Log Fence
<block:minecraft:farmland>, Farmland
<block:minecraft:fence>, Oak Fence
<block:minecraft:fence_gate>, Oak Fence Gate
<block:minecraft:fire>, Fire
<block:minecraft:flower_pot>, Flower Pot
<block:minecraft:flowing_lava>, Lava
<block:minecraft:flowing_water>, Water
<block:minecraft:frosted_ice>, Frosted Ice
<block:minecraft:furnace>, Furnace
<block:minecraft:glass>, Glass
<block:minecraft:glass_pane>, Glass Pane
<block:minecraft:glowstone>, Glowstone
<block:minecraft:gold_block>, Block of Gold
<block:minecraft:gold_ore>, Gold Ore
<block:minecraft:golden_rail>, Powered Rail
<block:minecraft:grass>, Grass Block
<block:minecraft:grass_path>, Grass Path
<block:minecraft:gravel>, Gravel
<block:minecraft:gray_glazed_terracotta>, Gray Glazed Terracotta
<block:minecraft:gray_shulker_box>, Gray Shulker Box
<block:minecraft:green_glazed_terracotta>, Green Glazed Terracotta
<block:minecraft:green_shulker_box>, Green Shulker Box
<block:minecraft:hardened_clay>, Terracotta
<block:minecraft:hay_block>, Hay Bale
<block:minecraft:heavy_weighted_pressure_plate>, Weighted Pressure Plate (Heavy)
<block:minecraft:hopper>, Hopper
<block:minecraft:ice>, Ice
<block:minecraft:iron_bars>, Iron Bars
<block:minecraft:iron_block>, Block of Iron
<block:minecraft:iron_door>, Iron Door
<block:minecraft:iron_ore>, Iron Ore
<block:minecraft:iron_trapdoor>, Iron Trapdoor
<block:minecraft:jukebox>, Jukebox
<block:minecraft:jungle_door>, Jungle Door
<block:minecraft:jungle_fence>, Jungle Fence
<block:minecraft:jungle_fence_gate>, Jungle Fence Gate
<block:minecraft:jungle_stairs>, Jungle Wood Stairs
<block:minecraft:ladder>, Ladder
<block:minecraft:lapis_block>, Lapis Lazuli Block
<block:minecraft:lapis_ore>, Lapis Lazuli Ore
<block:minecraft:lava>, Lava
<block:minecraft:leaves>, Leaves
<block:minecraft:leaves2>, Leaves
<block:minecraft:lever>, Lever
<block:minecraft:light_blue_glazed_terracotta>, Light Blue Glazed Terracotta
<block:minecraft:light_blue_shulker_box>, Light Blue Shulker Box
<block:minecraft:light_weighted_pressure_plate>, Weighted Pressure Plate (Light)
<block:minecraft:lime_glazed_terracotta>, Lime Glazed Terracotta
<block:minecraft:lime_shulker_box>, Lime Shulker Box
<block:minecraft:lit_furnace>, Furnace
<block:minecraft:lit_pumpkin>, Jack o'Lantern
<block:minecraft:lit_redstone_lamp>, Redstone Lamp
<block:minecraft:lit_redstone_ore>, Redstone Ore
<block:minecraft:log>, Wood
<block:minecraft:log2>, Wood
<block:minecraft:magenta_glazed_terracotta>, Magenta Glazed Terracotta
<block:minecraft:magenta_shulker_box>, Magenta Shulker Box
<block:minecraft:magma>, Magma Block
<block:minecraft:melon_block>, Melon
<block:minecraft:melon_stem>, Pumpkin Stem
<block:minecraft:mob_spawner>, Monster Spawner
<block:minecraft:monster_egg>, Stone Monster Egg
<block:minecraft:mossy_cobblestone>, Moss Stone
<block:minecraft:mycelium>, Mycelium
<block:minecraft:nether_brick>, Nether Brick
<block:minecraft:nether_brick_fence>, Nether Brick Fence
<block:minecraft:nether_brick_stairs>, Nether Brick Stairs
<block:minecraft:nether_wart>, Nether Wart
<block:minecraft:nether_wart_block>, Nether Wart Block
<block:minecraft:netherrack>, Netherrack
<block:minecraft:noteblock>, Note Block
<block:minecraft:oak_stairs>, Oak Wood Stairs
<block:minecraft:observer>, Observer
<block:minecraft:obsidian>, Obsidian
<block:minecraft:orange_glazed_terracotta>, Orange Glazed Terracotta
<block:minecraft:orange_shulker_box>, Orange Shulker Box
<block:minecraft:packed_ice>, Packed Ice
<block:minecraft:pink_glazed_terracotta>, Pink Glazed Terracotta
<block:minecraft:pink_shulker_box>, Pink Shulker Box
<block:minecraft:piston>, Piston
<block:minecraft:piston_extension>, tile.null.name
<block:minecraft:piston_head>, Piston
<block:minecraft:planks>, Wooden Planks
<block:minecraft:portal>, Portal
<block:minecraft:potatoes>, Potatoes
<block:minecraft:powered_comparator>, Redstone Comparator
<block:minecraft:powered_repeater>, Redstone Repeater
<block:minecraft:prismarine>, Prismarine
<block:minecraft:pumpkin>, Pumpkin
<block:minecraft:pumpkin_stem>, Pumpkin Stem
<block:minecraft:purple_glazed_terracotta>, Purple Glazed Terracotta
<block:minecraft:purple_shulker_box>, Purple Shulker Box
<block:minecraft:purpur_block>, Purpur Block
<block:minecraft:purpur_double_slab>, Purpur Slab
<block:minecraft:purpur_pillar>, Purpur Pillar
<block:minecraft:purpur_slab>, Purpur Slab
<block:minecraft:purpur_stairs>, Purpur Stairs
<block:minecraft:quartz_block>, Block of Quartz
<block:minecraft:quartz_ore>, Nether Quartz Ore
<block:minecraft:quartz_stairs>, Quartz Stairs
<block:minecraft:rail>, Rail
<block:minecraft:red_flower>, Flower
<block:minecraft:red_glazed_terracotta>, Red Glazed Terracotta
<block:minecraft:red_mushroom>, Mushroom
<block:minecraft:red_mushroom_block>, Mushroom
<block:minecraft:red_nether_brick>, Red Nether Brick
<block:minecraft:red_sandstone>, Red Sandstone
<block:minecraft:red_sandstone_stairs>, Red Sandstone Stairs
<block:minecraft:red_shulker_box>, Red Shulker Box
<block:minecraft:redstone_block>, Block of Redstone
<block:minecraft:redstone_lamp>, Redstone Lamp
<block:minecraft:redstone_ore>, Redstone Ore
<block:minecraft:redstone_torch>, Redstone Torch
<block:minecraft:redstone_wire>, Redstone Dust
<block:minecraft:reeds>, Sugar cane
<block:minecraft:repeating_command_block>, Repeating Command Block
<block:minecraft:sand>, Sand
<block:minecraft:sandstone>, Sandstone
<block:minecraft:sandstone_stairs>, Sandstone Stairs
<block:minecraft:sapling>, Oak Sapling
<block:minecraft:sea_lantern>, Sea Lantern
<block:minecraft:silver_glazed_terracotta>, Light Gray Glazed Terracotta
<block:minecraft:silver_shulker_box>, Light Gray Shulker Box
<block:minecraft:skull>, tile.skull.skeleton.name
<block:minecraft:slime>, Green Slime Block
<block:minecraft:snow>, Snow
<block:minecraft:snow_layer>, Snow
<block:minecraft:soul_sand>, Soul Sand
<block:minecraft:sponge>, Sponge
<block:minecraft:spruce_door>, Spruce Door
<block:minecraft:spruce_fence>, Spruce Fence
<block:minecraft:spruce_fence_gate>, Spruce Fence Gate
<block:minecraft:spruce_stairs>, Spruce Wood Stairs
<block:minecraft:stained_glass>, Stained Glass
<block:minecraft:stained_glass_pane>, Stained Glass Pane
<block:minecraft:stained_hardened_clay>, Stained Terracotta
<block:minecraft:standing_banner>, White Banner
<block:minecraft:standing_sign>, Sign
<block:minecraft:sticky_piston>, Sticky Piston
<block:minecraft:stone>, Stone
<block:minecraft:stone_brick_stairs>, Stone Brick Stairs
<block:minecraft:stone_button>, Button
<block:minecraft:stone_pressure_plate>, Stone Pressure Plate
<block:minecraft:stone_slab>, Stone Slab
<block:minecraft:stone_slab2>, Red Sandstone Slab
<block:minecraft:stone_stairs>, Cobblestone Stairs
<block:minecraft:stonebrick>, Stone Bricks
<block:minecraft:structure_block>, Structure Block
<block:minecraft:structure_void>, Structure Void
<block:minecraft:tallgrass>, Grass
<block:minecraft:tnt>, TNT
<block:minecraft:torch>, Torch
<block:minecraft:trapdoor>, Oak Trapdoor
<block:minecraft:trapped_chest>, Oak Trapped Chest
<block:minecraft:tripwire>, Tripwire
<block:minecraft:tripwire_hook>, Tripwire Hook
<block:minecraft:unlit_redstone_torch>, Redstone Torch
<block:minecraft:unpowered_comparator>, Redstone Comparator
<block:minecraft:unpowered_repeater>, Redstone Repeater
<block:minecraft:vine>, Vines
<block:minecraft:wall_banner>, White Banner
<block:minecraft:wall_sign>, Sign
<block:minecraft:water>, Water
<block:minecraft:waterlily>, Lily Pad
<block:minecraft:web>, Cobweb
<block:minecraft:wheat>, Crops
<block:minecraft:white_glazed_terracotta>, White Glazed Terracotta
<block:minecraft:white_shulker_box>, White Shulker Box
<block:minecraft:wooden_button>, Oak Button
<block:minecraft:wooden_door>, Oak Door
<block:minecraft:wooden_pressure_plate>, Oak Pressure Plate
<block:minecraft:wooden_slab>, Wood Slab
<block:minecraft:wool>, Wool
<block:minecraft:yellow_flower>, Flower
<block:minecraft:yellow_glazed_terracotta>, Yellow Glazed Terracotta
<block:minecraft:yellow_shulker_box>, Yellow Shulker Box
<block:netherendingores:block_end_endermite>, End Stone Endermite Monster Egg
<block:netherendingores:block_nether_netherfish>, Netherrack Netherfish Monster Egg
<block:netherendingores:creative_tab>, Creative Tab Block
<block:netherendingores:ore_end_modded_1>, tile.netherendingores:ore_end_modded_1.name
<block:netherendingores:ore_end_modded_2>, tile.netherendingores:ore_end_modded_2.name
<block:netherendingores:ore_end_vanilla>, tile.netherendingores:ore_end_vanilla.name
<block:netherendingores:ore_nether_modded_1>, tile.netherendingores:ore_nether_modded_1.name
<block:netherendingores:ore_nether_modded_2>, tile.netherendingores:ore_nether_modded_2.name
<block:netherendingores:ore_nether_vanilla>, tile.netherendingores:ore_nether_vanilla.name
<block:netherendingores:ore_other_1>, tile.netherendingores:ore_other_1.name
<block:netherex:amethyst_block>, Nether Amethyst Block
<block:netherex:amethyst_ore>, Nether Amethyst Ore
<block:netherex:basalt>, Basalt
<block:netherex:basalt_brick>, Basalt Bricks
<block:netherex:basalt_brick_fence>, Basalt Brick Fence
<block:netherex:basalt_brick_fence_gate>, Basalt Brick Fence Gate
<block:netherex:basalt_brick_slab>, Basalt Brick Slab
<block:netherex:basalt_brick_stairs>, Basalt Brick Stairs
<block:netherex:basalt_brick_wall>, tile.netherex:basalt_brick_wall.normal.name
<block:netherex:basalt_fence>, Basalt Fence
<block:netherex:basalt_fence_gate>, Basalt Fence Gate
<block:netherex:basalt_pillar>, Basalt Pillar
<block:netherex:basalt_pillar_fence>, Basalt Pillar Fence
<block:netherex:basalt_pillar_fence_gate>, Basalt Pillar Fence Gate
<block:netherex:basalt_pillar_slab>, Basalt Pillar Slab
<block:netherex:basalt_pillar_stairs>, Basalt Pillar Stairs
<block:netherex:basalt_pillar_wall>, tile.netherex:basalt_pillar_wall.normal.name
<block:netherex:basalt_slab>, Basalt Slab
<block:netherex:basalt_stairs>, Basalt Stairs
<block:netherex:basalt_wall>, tile.netherex:basalt_wall.normal.name
<block:netherex:blue_fire>, Blue Fire
<block:netherex:bone_chunk>, Bone Chunk
<block:netherex:bone_sliver>, Bone Sliver
<block:netherex:brown_elder_mushroom>, Brown Elder Mushroom
<block:netherex:brown_elder_mushroom_cap>, Brown Elder Mushroom Cap
<block:netherex:elder_mushroom_stem>, Elder Mushroom Stem
<block:netherex:enoki_mushroom_cap>, Enoki Mushroom Cap
<block:netherex:enoki_mushroom_stem>, Enoki Mushroom Stem
<block:netherex:fiery_nether_brick>, Fiery Nether Bricks
<block:netherex:fiery_nether_brick_fence>, Fiery Nether Brick Fence
<block:netherex:fiery_nether_brick_fence_gate>, Fiery Nether Brick Fence Gate
<block:netherex:fiery_nether_brick_slab>, Fiery Nether Brick Slab
<block:netherex:fiery_nether_brick_stairs>, Fiery Nether Brick Stairs
<block:netherex:fiery_nether_brick_wall>, tile.netherex:fiery_nether_brick_wall.normal.name
<block:netherex:fiery_netherrack>, Fiery Netherrack
<block:netherex:fiery_netherrack_path>, Fiery Trodden Netherrack
<block:netherex:frostburn_ice>, Frostburn Ice
<block:netherex:gloomy_nether_brick>, Gloomy Nether Bricks
<block:netherex:gloomy_nether_brick_fence>, Gloomy Nether Brick Fence
<block:netherex:gloomy_nether_brick_fence_gate>, Gloomy Nether Brick Fence Gate
<block:netherex:gloomy_nether_brick_slab>, Gloomy Nether Brick Slab
<block:netherex:gloomy_nether_brick_stairs>, Gloomy Nether Brick Stairs
<block:netherex:gloomy_nether_brick_wall>, tile.netherex:gloomy_nether_brick_wall.normal.name
<block:netherex:gloomy_netherrack>, Gloomy Netherrack
<block:netherex:gloomy_netherrack_path>, Gloomy Trodden Netherrack
<block:netherex:hyphae>, Hyphae
<block:netherex:ichor>, Ichor
<block:netherex:icy_nether_brick>, Icy Nether Bricks
<block:netherex:icy_nether_brick_fence>, Icy Nether Brick Fence
<block:netherex:icy_nether_brick_fence_gate>, Icy Nether Brick Fence Gate
<block:netherex:icy_nether_brick_slab>, Icy Nether Brick Slab
<block:netherex:icy_nether_brick_stairs>, Icy Nether Brick Stairs
<block:netherex:icy_nether_brick_wall>, tile.netherex:icy_nether_brick_wall.normal.name
<block:netherex:icy_netherrack>, Icy Netherrack
<block:netherex:icy_netherrack_path>, Icy Trodden Netherrack
<block:netherex:lively_nether_brick>, Lively Nether Bricks
<block:netherex:lively_nether_brick_fence>, Lively Nether Brick Fence
<block:netherex:lively_nether_brick_fence_gate>, Lively Nether Brick Fence Gate
<block:netherex:lively_nether_brick_slab>, Lively Nether Brick Slab
<block:netherex:lively_nether_brick_stairs>, Lively Nether Brick Stairs
<block:netherex:lively_nether_brick_wall>, tile.netherex:lively_nether_brick_wall.normal.name
<block:netherex:lively_netherrack>, Lively Netherrack
<block:netherex:lively_netherrack_path>, Lively Trodden Netherrack
<block:netherex:nether_brick_fence_gate>, Nether Brick Fence Gate
<block:netherex:nether_brick_wall>, tile.netherex:nether_brick_wall.normal.name
<block:netherex:nether_portal>, Nether Portal Block
<block:netherex:netherrack_path>, Trodden Netherrack
<block:netherex:possessed_soul_sand>, Possessed Soul Sand
<block:netherex:quartz_fence>, Quartz Fence
<block:netherex:quartz_fence_gate>, Quartz Fence Gate
<block:netherex:quartz_ore>, Nether Quartz Ore
<block:netherex:quartz_wall>, tile.netherex:quartz_wall.normal.name
<block:netherex:red_elder_mushroom>, Red Elder Mushroom
<block:netherex:red_elder_mushroom_cap>, Red Elder Mushroom Cap
<block:netherex:red_nether_brick_fence>, Red Nether Brick Fence
<block:netherex:red_nether_brick_fence_gate>, Red Nether Brick Fence Gate
<block:netherex:red_nether_brick_slab>, Red Nether Brick Slab
<block:netherex:red_nether_brick_stairs>, Red Nether Brick Stairs
<block:netherex:red_nether_brick_wall>, tile.netherex:red_nether_brick_wall.normal.name
<block:netherex:rime_block>, Nether Rime Block
<block:netherex:rime_ore>, Nether Rime Ore
<block:netherex:smooth_basalt>, Smooth Basalt
<block:netherex:smooth_basalt_fence>, Smooth Basalt Fence
<block:netherex:smooth_basalt_fence_gate>, Smooth Basalt Fence Gate
<block:netherex:smooth_basalt_slab>, Smooth Basalt Slab
<block:netherex:smooth_basalt_stairs>, Smooth Basalt Stairs
<block:netherex:smooth_basalt_wall>, tile.netherex:smooth_basalt_wall.normal.name
<block:netherex:soul_glass>, Soul Glass
<block:netherex:soul_glass_pane>, Soul Glass Pane
<block:netherex:thornstalk>, Thornstalk
<block:netherex:urn_of_sorrow>, Urn of Sorrow
<block:netherex:worn_iron>, Worn Iron Block
<block:netherhexedkingdommod:eternal_light>, Eternal Light
<block:netherhexedkingdommod:human_skeleton_bottom>, Human Skeleton Bottom
<block:netherhexedkingdommod:human_skeleton_top>, Human Skeleton Top
<block:netherhexedkingdommod:iron_plate_block>, Hammered Iron Plate
<block:netherhexedkingdommod:nether_deadstone>, Nether Deadstone
<block:netherhexedkingdommod:nether_gold_ore>, Nether Gold Ore
<block:netherhexedkingdommod:red_nether_brick_stairs>, Red Nether Brick Stairs
<block:netherhexedkingdommod:tile_stone_sword>, Stone Sword Tile
<block:notenoughwands:lightblock>, Illuminating Orb
<block:openblocks:auto_anvil>, Auto Anvil
<block:openblocks:auto_enchantment_table>, Auto Enchantment Table
<block:openblocks:beartrap>, Bear Trap
<block:openblocks:big_button>, Stone Big Button
<block:openblocks:big_button_wood>, Wooden Big Button
<block:openblocks:block_breaker>, Block Breaker
<block:openblocks:block_placer>, Block Placer
<block:openblocks:builder_guide>, Enhanced Building Guide
<block:openblocks:cannon>, Item Cannon
<block:openblocks:canvas>, Canvas
<block:openblocks:canvas_glass>, Canvas
<block:openblocks:donation_station>, Donation Station
<block:openblocks:drawing_table>, Drawing Table
<block:openblocks:elevator>, Elevator
<block:openblocks:elevator_rotating>, Rotating Elevator
<block:openblocks:fan>, Fan
<block:openblocks:flag>, Flag
<block:openblocks:golden_egg>, Golden Egg
<block:openblocks:guide>, Building Guide
<block:openblocks:heal>, Healer
<block:openblocks:imaginary>, tile.openblocks.imaginary.name
<block:openblocks:item_dropper>, Item Dropper
<block:openblocks:ladder>, Jaded Ladder
<block:openblocks:paint_can>, Paint Can
<block:openblocks:paint_mixer>, Paint Mixer
<block:openblocks:path>, Path
<block:openblocks:projector>, Height Map Projector
<block:openblocks:rope_ladder>, Rope Ladder
<block:openblocks:scaffolding>, Scaffolding
<block:openblocks:sky>, Sky Block
<block:openblocks:sponge>, Sponge
<block:openblocks:sprinkler>, Sprinkler
<block:openblocks:tank>, Tank
<block:openblocks:target>, Target
<block:openblocks:trophy>, Trophy
<block:openblocks:vacuum_hopper>, Vacuum Hopper
<block:openblocks:village_highlighter>, Village Highlighter
<block:openblocks:xp_bottler>, XP Bottler
<block:openblocks:xp_drain>, XP Drain
<block:openblocks:xp_shower>, XP Shower
<block:oreberries:aluminum_oreberry_bush>, Aluminum Oreberry Bush
<block:oreberries:copper_oreberry_bush>, Copper Oreberry Bush
<block:oreberries:essence_oreberry_bush>, Essence Berry Bush
<block:oreberries:gold_oreberry_bush>, Gold Oreberry Bush
<block:oreberries:iron_oreberry_bush>, Iron Oreberry Bush
<block:oreberries:tin_oreberry_bush>, Tin Oreberry Bush
<block:playerhopper:playerhopper>, Player Hopper
<block:plustic:alumiteblock>, Alumite Block
<block:plustic:centrifuge>, Essentia Centrifuge
<block:plustic:mirionblock>, Mirion Block
<block:plustic:plustic.molten_alumite>, fluid.al.name
<block:plustic:plustic.molten_elementium>, Molten Elementium
<block:plustic:plustic.molten_iridium>, Molten Iridium
<block:plustic:plustic.molten_manasteel>, fluid.mana.name
<block:plustic:plustic.molten_mirion>, Molten Mirion
<block:plustic:plustic.molten_psimetal>, Molten Psimetal
<block:plustic:plustic.molten_starmetal>, Molten Starmetal
<block:plustic:plustic.molten_terrasteel>, fluid.terra.name
<block:plustic:plustic.molten_thaumium>, Molten Thaumium
<block:projectred-exploration:barrel>, tile.projectred.exploration.barrel.name
<block:projectred-exploration:ore>, tile.projectred.exploration.ore.name
<block:projectred-exploration:stone>, tile.projectred.exploration.stone.name
<block:projectred-exploration:stone_wall>, tile.projectred.exploration.stoneWall.name
<block:projectred-illumination:lamp>, tile.projectred.illumination.lamp.name
<block:psi:cad_assembler>, tile.cad_assembler.name
<block:psi:conjured>, tile.conjured.name
<block:psi:programmer>, tile.programmer.name
<block:psi:psi_decorative>, tile.psi_decorative.name
<block:qualitytools:reforging_station>, Reforging Station
<block:quark:acacia_button>, tile.acacia_button.name
<block:quark:acacia_pressure_plate>, tile.acacia_pressure_plate.name
<block:quark:acacia_trapdoor>, tile.acacia_trapdoor.name
<block:quark:andesite_speleothem>, tile.andesite_speleothem.name
<block:quark:bark>, tile.bark.name
<block:quark:bark_acacia_slab>, tile.bark_acacia_slab.name
<block:quark:bark_acacia_slab_double>, tile.bark_acacia_slab_double.name
<block:quark:bark_acacia_stairs>, tile.bark_acacia_stairs.name
<block:quark:bark_acacia_wall>, tile.bark_acacia_wall.name
<block:quark:bark_birch_slab>, tile.bark_birch_slab.name
<block:quark:bark_birch_slab_double>, tile.bark_birch_slab_double.name
<block:quark:bark_birch_stairs>, tile.bark_birch_stairs.name
<block:quark:bark_birch_wall>, tile.bark_birch_wall.name
<block:quark:bark_dark_oak_slab>, tile.bark_dark_oak_slab.name
<block:quark:bark_dark_oak_slab_double>, tile.bark_dark_oak_slab_double.name
<block:quark:bark_dark_oak_stairs>, tile.bark_dark_oak_stairs.name
<block:quark:bark_dark_oak_wall>, tile.bark_dark_oak_wall.name
<block:quark:bark_jungle_slab>, tile.bark_jungle_slab.name
<block:quark:bark_jungle_slab_double>, tile.bark_jungle_slab_double.name
<block:quark:bark_jungle_stairs>, tile.bark_jungle_stairs.name
<block:quark:bark_jungle_wall>, tile.bark_jungle_wall.name
<block:quark:bark_oak_slab>, tile.bark_oak_slab.name
<block:quark:bark_oak_slab_double>, tile.bark_oak_slab_double.name
<block:quark:bark_oak_stairs>, tile.bark_oak_stairs.name
<block:quark:bark_oak_wall>, tile.bark_oak_wall.name
<block:quark:bark_spruce_slab>, tile.bark_spruce_slab.name
<block:quark:bark_spruce_slab_double>, tile.bark_spruce_slab_double.name
<block:quark:bark_spruce_stairs>, tile.bark_spruce_stairs.name
<block:quark:bark_spruce_wall>, tile.bark_spruce_wall.name
<block:quark:basalt>, tile.basalt.name
<block:quark:basalt_speleothem>, tile.basalt_speleothem.name
<block:quark:basalt_wall>, tile.basalt_wall.name
<block:quark:biome_brick>, tile.biome_brick.name
<block:quark:biome_cobblestone>, tile.biome_cobblestone.name
<block:quark:biotite_block>, tile.biotite_block.name
<block:quark:biotite_ore>, tile.biotite_ore.name
<block:quark:biotite_slab>, tile.biotite_slab.name
<block:quark:biotite_slab_double>, tile.biotite_slab_double.name
<block:quark:biotite_stairs>, tile.biotite_stairs.name
<block:quark:biotite_wall>, tile.biotite_wall.name
<block:quark:birch_button>, tile.birch_button.name
<block:quark:birch_pressure_plate>, tile.birch_pressure_plate.name
<block:quark:birch_trapdoor>, tile.birch_trapdoor.name
<block:quark:black_ash>, tile.black_ash.name
<block:quark:blaze_lantern>, tile.blaze_lantern.name
<block:quark:blaze_rod>, tile.blaze_rod.name
<block:quark:brick_wall>, tile.brick_wall.name
<block:quark:candle>, tile.candle.name
<block:quark:carved_wood>, tile.carved_wood.name
<block:quark:charcoal_block>, tile.charcoal_block.name
<block:quark:charred_nether_brick_slab>, tile.charred_nether_brick_slab.name
<block:quark:charred_nether_brick_slab_double>, tile.charred_nether_brick_slab_double.name
<block:quark:charred_nether_brick_stairs>, tile.charred_nether_brick_stairs.name
<block:quark:charred_nether_bricks>, tile.charred_nether_bricks.name
<block:quark:chute>, tile.chute.name
<block:quark:cobbed_stone_slab>, tile.cobbed_stone_slab.name
<block:quark:cobbed_stone_slab_double>, tile.cobbed_stone_slab_double.name
<block:quark:cobbed_stone_stairs>, tile.cobbed_stone_stairs.name
<block:quark:cobbed_stone_wall>, tile.cobbed_stone_wall.name
<block:quark:cobblestone_mossy_slab>, tile.cobblestone_mossy_slab.name
<block:quark:cobblestone_mossy_slab_double>, tile.cobblestone_mossy_slab_double.name
<block:quark:cobblestone_mossy_stairs>, tile.cobblestone_mossy_stairs.name
<block:quark:color_slime>, tile.color_slime.name
<block:quark:colored_flowerpot_black>, tile.colored_flowerpot_black.name
<block:quark:colored_flowerpot_blue>, tile.colored_flowerpot_blue.name
<block:quark:colored_flowerpot_brown>, tile.colored_flowerpot_brown.name
<block:quark:colored_flowerpot_cyan>, tile.colored_flowerpot_cyan.name
<block:quark:colored_flowerpot_gray>, tile.colored_flowerpot_gray.name
<block:quark:colored_flowerpot_green>, tile.colored_flowerpot_green.name
<block:quark:colored_flowerpot_light_blue>, tile.colored_flowerpot_light_blue.name
<block:quark:colored_flowerpot_lime>, tile.colored_flowerpot_lime.name
<block:quark:colored_flowerpot_magenta>, tile.colored_flowerpot_magenta.name
<block:quark:colored_flowerpot_orange>, tile.colored_flowerpot_orange.name
<block:quark:colored_flowerpot_pink>, tile.colored_flowerpot_pink.name
<block:quark:colored_flowerpot_purple>, tile.colored_flowerpot_purple.name
<block:quark:colored_flowerpot_red>, tile.colored_flowerpot_red.name
<block:quark:colored_flowerpot_silver>, tile.colored_flowerpot_silver.name
<block:quark:colored_flowerpot_white>, tile.colored_flowerpot_white.name
<block:quark:colored_flowerpot_yellow>, tile.colored_flowerpot_yellow.name
<block:quark:crystal>, Celestial Crystal
<block:quark:crystal_pane>, tile.crystal_pane.name
<block:quark:custom_bookshelf>, tile.custom_bookshelf.name
<block:quark:custom_chest>, tile.custom_chest.name
<block:quark:custom_chest_trap>, tile.custom_chest_trap.name
<block:quark:dark_oak_button>, tile.dark_oak_button.name
<block:quark:dark_oak_pressure_plate>, tile.dark_oak_pressure_plate.name
<block:quark:dark_oak_trapdoor>, tile.dark_oak_trapdoor.name
<block:quark:dark_prismarine_wall>, tile.dark_prismarine_wall.name
<block:quark:diorite_speleothem>, tile.diorite_speleothem.name
<block:quark:duskbound_block>, tile.duskbound_block.name
<block:quark:duskbound_block_slab>, tile.duskbound_block_slab.name
<block:quark:duskbound_block_slab_double>, tile.duskbound_block_slab_double.name
<block:quark:duskbound_block_stairs>, tile.duskbound_block_stairs.name
<block:quark:duskbound_block_wall>, tile.duskbound_block_wall.name
<block:quark:duskbound_lantern>, tile.duskbound_lantern.name
<block:quark:elder_prismarine>, tile.elder_prismarine.name
<block:quark:elder_prismarine_bricks_slab>, tile.elder_prismarine_bricks_slab.name
<block:quark:elder_prismarine_bricks_slab_double>, tile.elder_prismarine_bricks_slab_double.name
<block:quark:elder_prismarine_bricks_stairs>, tile.elder_prismarine_bricks_stairs.name
<block:quark:elder_prismarine_bricks_wall>, tile.elder_prismarine_bricks_wall.name
<block:quark:elder_prismarine_dark_slab>, tile.elder_prismarine_dark_slab.name
<block:quark:elder_prismarine_dark_slab_double>, tile.elder_prismarine_dark_slab_double.name
<block:quark:elder_prismarine_dark_stairs>, tile.elder_prismarine_dark_stairs.name
<block:quark:elder_prismarine_dark_wall>, tile.elder_prismarine_dark_wall.name
<block:quark:elder_prismarine_slab>, tile.elder_prismarine_slab.name
<block:quark:elder_prismarine_slab_double>, tile.elder_prismarine_slab_double.name
<block:quark:elder_prismarine_stairs>, tile.elder_prismarine_stairs.name
<block:quark:elder_prismarine_wall>, tile.elder_prismarine_wall.name
<block:quark:elder_sea_lantern>, tile.elder_sea_lantern.name
<block:quark:end_bricks_slab>, tile.end_bricks_slab.name
<block:quark:end_bricks_slab_double>, tile.end_bricks_slab_double.name
<block:quark:end_bricks_stairs>, tile.end_bricks_stairs.name
<block:quark:end_bricks_wall>, tile.end_bricks_wall.name
<block:quark:fire_stone_brick_slab>, tile.fire_stone_brick_slab.name
<block:quark:fire_stone_brick_slab_double>, tile.fire_stone_brick_slab_double.name
<block:quark:fire_stone_brick_stairs>, tile.fire_stone_brick_stairs.name
<block:quark:fire_stone_brick_wall>, tile.fire_stone_brick_wall.name
<block:quark:fire_stone_slab>, tile.fire_stone_slab.name
<block:quark:fire_stone_slab_double>, tile.fire_stone_slab_double.name
<block:quark:fire_stone_stairs>, tile.fire_stone_stairs.name
<block:quark:fire_stone_wall>, tile.fire_stone_wall.name
<block:quark:framed_glass>, tile.framed_glass.name
<block:quark:framed_glass_pane>, tile.framed_glass_pane.name
<block:quark:glowcelium>, tile.glowcelium.name
<block:quark:glowshroom>, tile.glowshroom.name
<block:quark:glowshroom_block>, tile.glowshroom_block.name
<block:quark:glowstone_dust_block>, tile.glowstone_dust_block.name
<block:quark:gold_button>, tile.gold_button.name
<block:quark:granite_speleothem>, tile.granite_speleothem.name
<block:quark:grate>, tile.grate.name
<block:quark:gravisand>, tile.gravisand.name
<block:quark:gunpowder_block>, tile.gunpowder_block.name
<block:quark:hardened_clay_tiles>, tile.hardened_clay_tiles.name
<block:quark:hardened_clay_tiles_slab>, tile.hardened_clay_tiles_slab.name
<block:quark:hardened_clay_tiles_slab_double>, tile.hardened_clay_tiles_slab_double.name
<block:quark:hardened_clay_tiles_stairs>, tile.hardened_clay_tiles_stairs.name
<block:quark:icy_stone_brick_slab>, tile.icy_stone_brick_slab.name
<block:quark:icy_stone_brick_slab_double>, tile.icy_stone_brick_slab_double.name
<block:quark:icy_stone_brick_stairs>, tile.icy_stone_brick_stairs.name
<block:quark:icy_stone_brick_wall>, tile.icy_stone_brick_wall.name
<block:quark:icy_stone_slab>, tile.icy_stone_slab.name
<block:quark:icy_stone_slab_double>, tile.icy_stone_slab_double.name
